time=10200, port=1, send=1, transmission=successfully

time=10210, port=1, send=1, transmission=successfully

time=10220, port=1, send=1, transmission=successfully

time=10230, port=1, send=1, transmission=successfully

time=10240, port=1, send=1, transmission=successfully

time=10250, port=1, send=1, transmission=successfully

time=10260, port=1, send=1, transmission=successfully

time=10270, port=1, send=1, transmission=successfully

time=10280, port=1, send=1, transmission=successfully

time=10290, port=1, send=1, transmission=successfully

time=10300, port=1, send=1, transmission=successfully

time=10310, port=1, send=1, transmission=successfully

time=10320, port=1, send=1, transmission=successfully

time=10330, port=1, send=1, transmission=successfully

time=10340, port=1, send=1, transmission=successfully

time=10350, port=1, send=1, transmission=successfully

time=10360, port=1, send=1, transmission=successfully

time=10370, port=1, send=1, transmission=successfully

time=10380, port=1, send=0, transmission=successfully

time=10390, port=1, send=0, transmission=successfully

time=10400, port=1, send=0, transmission=successfully

time=10410, port=1, send=1, transmission=successfully

time=10420, port=1, send=0, transmission=successfully

time=10430, port=1, send=1, transmission=successfully

time=10440, port=1, send=1, transmission=successfully

time=10450, port=1, send=1, transmission=successfully

time=10460, port=1, send=0, transmission=successfully

time=10470, port=1, send=1, transmission=successfully

time=10480, port=1, send=0, transmission=successfully

time=10490, port=1, send=1, transmission=successfully

time=10500, port=1, send=1, transmission=successfully

time=10510, port=1, send=0, transmission=successfully

time=10520, port=1, send=0, transmission=successfully

time=10530, port=1, send=0, transmission=successfully

time=10540, port=1, send=0, transmission=successfully

time=10550, port=1, send=0, transmission=successfully

time=10560, port=1, send=1, transmission=successfully

time=10570, port=1, send=0, transmission=successfully

time=10580, port=1, send=0, transmission=successfully

time=10590, port=1, send=0, transmission=successfully

time=10600, port=1, send=0, transmission=successfully

time=10610, port=1, send=0, transmission=successfully

time=10620, port=1, send=0, transmission=successfully

time=10630, port=1, send=0, transmission=successfully

time=10640, port=1, send=1, transmission=successfully

time=10650, port=1, send=0, transmission=successfully

time=10660, port=1, send=1, transmission=successfully

time=10670, port=1, send=0, transmission=successfully

time=10680, port=1, send=0, transmission=successfully

time=10690, port=1, send=0, transmission=successfully

time=10700, port=1, send=0, transmission=successfully

time=10710, port=1, send=0, transmission=successfully

time=10720, port=1, send=1, transmission=successfully

time=10730, port=1, send=0, transmission=successfully

time=10740, port=1, send=1, transmission=successfully

time=10750, port=1, send=0, transmission=successfully

time=10760, port=1, send=0, transmission=successfully

time=10770, port=1, send=0, transmission=successfully

time=10780, port=1, send=0, transmission=successfully

time=10790, port=1, send=1, transmission=successfully

time=10800, port=1, send=1, transmission=successfully

time=10810, port=1, send=0, transmission=successfully

time=10820, port=1, send=1, transmission=successfully

time=10830, port=1, send=1, transmission=successfully

time=10840, port=1, send=0, transmission=successfully

time=10850, port=1, send=0, transmission=successfully

time=10860, port=1, send=0, transmission=successfully

time=10870, port=1, send=1, transmission=successfully

time=10880, port=1, send=1, transmission=successfully

time=10890, port=1, send=0, transmission=successfully

time=10900, port=1, send=0, transmission=successfully

time=10910, port=1, send=1, transmission=successfully

time=10920, port=1, send=0, transmission=successfully

time=10930, port=1, send=0, transmission=successfully

time=10940, port=1, send=0, transmission=successfully

time=10950, port=1, send=1, transmission=successfully

time=10960, port=1, send=1, transmission=successfully

time=10970, port=1, send=0, transmission=successfully

time=10980, port=1, send=1, transmission=successfully

time=10990, port=1, send=1, transmission=successfully

time=11000, port=1, send=0, transmission=successfully

time=11010, port=1, send=0, transmission=successfully

time=11020, port=1, send=0, transmission=successfully

time=11030, port=1, send=0, transmission=successfully

time=11040, port=1, send=1, transmission=successfully

time=11050, port=1, send=0, transmission=successfully

time=11060, port=1, send=1, transmission=successfully

time=11070, port=1, send=0, transmission=successfully

time=11080, port=1, send=0, transmission=successfully

time=11090, port=1, send=0, transmission=successfully

time=11100, port=1, send=0, transmission=successfully

time=11110, port=1, send=0, transmission=successfully

time=11120, port=1, send=0, transmission=successfully

time=11130, port=1, send=1, transmission=successfully

time=11140, port=1, send=1, transmission=successfully

time=11150, port=1, send=0, transmission=successfully

time=11160, port=1, send=0, transmission=successfully

time=11170, port=1, send=1, transmission=successfully

time=11180, port=1, send=1, transmission=successfully

time=11190, port=1, send=1, transmission=successfully

time=11200, port=1, send=1, transmission=successfully

time=11210, port=1, send=0, transmission=successfully

time=11220, port=1, send=1, transmission=successfully

time=11230, port=1, send=0, transmission=successfully

time=11240, port=1, send=0, transmission=successfully

time=11250, port=1, send=0, transmission=successfully

time=11260, port=1, send=0, transmission=successfully

time=11270, port=1, send=1, transmission=successfully

time=11280, port=1, send=1, transmission=successfully

time=11290, port=1, send=1, transmission=successfully

time=11300, port=1, send=1, transmission=successfully

time=11310, port=1, send=1, transmission=successfully

time=11320, port=1, send=0, transmission=successfully

time=11330, port=1, send=0, transmission=successfully

time=11340, port=1, send=0, transmission=successfully

time=11350, port=1, send=0, transmission=successfully

time=11360, port=1, send=1, transmission=successfully

time=11370, port=1, send=0, transmission=successfully

time=11380, port=1, send=1, transmission=successfully

time=11390, port=1, send=0, transmission=successfully

time=11400, port=1, send=0, transmission=successfully

time=11410, port=1, send=0, transmission=successfully

time=11420, port=1, send=0, transmission=successfully

time=11430, port=1, send=1, transmission=successfully

time=11440, port=1, send=1, transmission=successfully

time=11450, port=1, send=0, transmission=successfully

time=11460, port=1, send=1, transmission=successfully

time=11470, port=1, send=1, transmission=successfully

time=11480, port=1, send=0, transmission=successfully

time=11490, port=1, send=0, transmission=successfully

time=11500, port=1, send=0, transmission=successfully

time=11510, port=1, send=1, transmission=successfully

time=11520, port=1, send=1, transmission=successfully

time=11530, port=1, send=0, transmission=successfully

time=11540, port=1, send=0, transmission=successfully

time=11550, port=1, send=1, transmission=successfully

time=11560, port=1, send=0, transmission=successfully

time=11570, port=1, send=0, transmission=successfully

time=11580, port=1, send=0, transmission=successfully

time=11590, port=1, send=1, transmission=successfully

time=11600, port=1, send=1, transmission=successfully

time=11610, port=1, send=0, transmission=successfully

time=11620, port=1, send=1, transmission=successfully

time=11630, port=1, send=1, transmission=successfully

time=11640, port=1, send=0, transmission=successfully

time=11650, port=1, send=0, transmission=successfully

time=11660, port=1, send=0, transmission=successfully

time=11670, port=1, send=0, transmission=successfully

time=11680, port=1, send=1, transmission=successfully

time=11690, port=1, send=0, transmission=successfully

time=11700, port=1, send=1, transmission=successfully

time=11710, port=1, send=0, transmission=successfully

time=11720, port=1, send=0, transmission=successfully

time=11730, port=1, send=0, transmission=successfully

time=11740, port=1, send=0, transmission=successfully

time=11750, port=1, send=0, transmission=successfully

time=11760, port=1, send=0, transmission=successfully

time=11770, port=1, send=1, transmission=successfully

time=11780, port=1, send=1, transmission=successfully

time=11790, port=1, send=0, transmission=successfully

time=11800, port=1, send=0, transmission=successfully

time=11810, port=1, send=1, transmission=successfully

time=11820, port=1, send=1, transmission=successfully

time=11830, port=1, send=1, transmission=successfully

time=11840, port=1, send=1, transmission=successfully

